Property Name,Reported,Property Type,Address,ZIP, Gross Area (sq ft) ,Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built, GHG Emissions (MTCO2e) ,GHG Intensity (kgCO2/sf), Total Site Energy (kBTU) ,% Electricity,% Gas,% Steam,Water Intensity (gal/sf), Onsite Renewable (kWh) ,User Submitted Info,User Submitted Link,Tax Parcel,Years Reported,Covered by 5 Year Energy Action and Assessment Required in 2019,5 Year Energy Action and Assessment Compliance Status
Norway Housing: 87 Saint Stephen Street,Compliant,Multifamily Housing,87 Saint Stephen Street,02115,39048,80.8,79,,Multifamily Housing,1978,179.1,4.6,3156965.6,0.152630409,0.834253658,,40.63,,,,0401665000,"2017, 2018, 2019, ",No,
Norway Housing: 99-103 Norway Street,Compliant,Multifamily Housing,99-103 Norway Street,02115,45570,76.6,67,,Multifamily Housing,1978,234.9,5.2,3491790.5,0.153958239,0.334527458,,42.94,,,,0401410000,"2015, 2016, 2017, 2018, 2019, ",No,
Norway Housing: Norway - Hemenway,Voluntary,Multifamily Housing,30 Hemenway Street,02115,31104,81.3,77,,Multifamily Housing,1978,185.5,6,2527239.3,0.17850241,0.044887716,,38.16,,30 Hemenway Parcel ID 0401396000 not on CBL but has more than 35 apartments.,,0401396000,"2018, 2019, ",No,
Notre Dame Campus,Compliant,Residence Hall/Dormitory,17 Highland Park Street,02119,35734,51,,,"Other, Residence Hall/Dormitory",1840,175.2,3,3009577.1,0.214982671,0.766543346,,9.27,,"Building not in use during calendar year 2013. Manned by a Campus Safety officer 24/7. Various vendors in the buildings to make infrastructure improvements (i.e. doors and locks, IT cabling, etc).

The square footage used for the residence hall is a rough estimate. ",,1100706000,"2016, 2017, 2018, 2019, ",No,
NW 230 Congress Street Property Owner LLC,Compliant,Office,230 Congress Street ,02110,182653,145.6,51,,"Data Center, Office",1931,1949.7,10.7,26589162.8,0.74721301,,0.188576983,15.51,,,,0304190000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Compliant - ASHRAE II Energy Audit
Oak Terrace Apartments,Compliant,Multifamily Housing,888 Washington Street,02111,110224,66.4,91,,Multifamily Housing,1994,427.3,3.9,7317678.6,0.222548601,0.758327197,,48.58,,"Building is listed on the Covered Buildings List as ES Washington Street. Square footage was only for a portion of the property on the tax assessor map, which was under the threshold anyway. The GFA used is the correct value for this property. 
",,0305484010,"2015, 2016, 2017, 2018, 2019, ",No,
O'DONNELL,Municipal,K-12 School,33 Trenton St.,02128,24648,49.9,84,,K-12 School,1932,71.5,2.9,1229161.2,0.214295152,0.767289921,,Not Available,,,,102615000,"2016, 2017, 2018, 2019, ",No,
O'HEARN,Municipal,K-12 School,1669 Dorchester Ave.,02122,30381,114.9,30,,K-12 School,1957,191.4,6.3,3491955.1,0.07201409,0.921797534,,Not Available,,,,1601228000,"2016, 2017, 2018, 2019, ",No,
Ohrenberger School,Municipal,K-12 School,175 West Boundary Rd,02132,111592,194.7,2,,K-12 School,1972,1211.3,10.9,21727209.1,0.111138558,0.879311002,,Not Available,,,,2012032000,"2016, 2017, 2018, 2019, ",No,
Old City Hall,Compliant,Office,45 School Street ,02108,97230,67.5,80,,"Office, Restaurant",1862,472.6,4.9,6558992.9,0.60965606,,0.337954581,26.14,,,,0302856000,"2015, 2016, 2017, 2018, 2019, ",No,
Old South Church in Boston,Compliant,Worship Facility,645 Boylston Street,02116,54860,67.6,,,Worship Facility,1875,231.7,4.2,3708985.9,0.394247443,0.571873811,,0.89,,,,501387000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Extension
Oliver Lofts,Compliant,Multifamily Housing,166 Terrace Street,02120,80754,49.1,93,,"Multifamily Housing, Parking",1920,242.8,3,3963843.5,0.343838973,0.626613992,,27.3,,,,1000358012,"2015, 2016, 2017, 2018, 2019, ",No,
Olnick - 329 Washington Street,Compliant,Multifamily Housing,329-343 Washington Street,02135,36195,79.4,,,"Multifamily Housing, Retail Store",1899,155.4,4.3,2875554.2,0.039220993,0.957408628,,Not Available,,,,2202396000,"2016, 2017, 2018, 2019, ",No,
Omni Parker House,Compliant,Hotel,60 School Street,02108,338000,101.7,59,,Hotel,1855,2397.4,7.1,34374503.8,0.412024236,0.035907427,0.516662003,69.31,,"Using monthly meter readings from U drive to input into Portfolio.  Getting monthly costs from Accounting to input into Portfolio.

All 2014 data inputed so far has been done using Ecova's website. Using utility bills off the website to input the information into Portfolio Manager.",,304696000,"2016, 2017, 2018, 2019, ",Yes,Compliant - ASHRAE II Energy Audit
On The Fens Condominium,Compliant,Multifamily Housing,70-74 The Fenway,02115,17000,46.9,100,,Multifamily Housing,1981,44.2,2.6,797188.7,0.097361208,0.89427246,,10585210,,,,0401719000,"2014, 2015, 2016, 2017, 2018, 2019, ",No,
One Appleton,Compliant,Office,1 Appleton Street,02116,40000,43.5,91,,"Office, Restaurant",1900,103.9,2.6,1740931.1,0.278261732,0.69782641,,15.48,,,,500693000,"2016, 2017, 2018, 2019, ",No,
One Beacon,Compliant,Office,1 Beacon Street,02108,1136283,112.3,63,"2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007","Data Center, Office, Parking",1973,8872.2,7.8,127612151.9,0.352232335,0.01055307,0.606946335,10.1,,,,0302720000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Compliant - Energy Star Certification
One Boston Place,Compliant,Office,One Boston Place,02108,837940,94.6,53,"2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2007",Office,1970,5575.5,6.6,79857764.4,0.370532174,0.001233791,0.596393218,8.82,,"2/1/2019 - The 6,263 GSF Mezzanine Level was demolished, and brought the Bldg GSF from 844,203 GSF down to 837,940 GSF. ",,0302870000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Compliant - Energy Star Certification
One Bowdoin Square,Compliant,Office,One Bowdoin Square,02114,156378,60.7,77,"2018, 2017, 2016, 2015","Office, Parking",1972,632.8,4,9495488.1,0.570673981,0.380286496,,11.08,,"The month of April had an adjustment of -7782...  we took that off of the following month (May)
that is why April shows zero consumption.

LPC hired property a firm to measure the GFA of the property which resulted in higher numbers. Previously, commmon areas were not accounted for. ",,0302621000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Compliant - Energy Star Certification
One Brigham Circle,Compliant,Mixed Use Property,1620 Tremont Street,02120,199489,184.8,27,,"Office, Parking, Retail Store, Supermarket/Grocery Store",2003,2537.5,12.7,36866813,0.663077187,0.279942828,,22.56,,"Additional parcel IDs can be found below""

1000647000
1000648000

Thank-you.

",,1000649000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Extension
One Bulfinch,Compliant,Office,One Bulfinch PL ,02114,82876,262.5,,,Office,1972,1606,19.4,21758833.4,0.873259906,0.051698544,,21.03,,,,302624000,"2017, 2018, 2019, ",Yes,Not Compliant
One Canal,Compliant,Multifamily Housing,1 Canal Street,02114,273110,74.2,7,,Multifamily Housing,2016,1361.4,5,20264043.1,0.593740852,0.355237411,,20.9,,,,0301560010,"2017, 2018, 2019, ",No,
One Channel Center,Compliant,Financial Office,1 Iron St,02210,501650,42.3,94,"2018, 2016, 2015",Financial Office,2014,1508.1,3,21216771.5,0.758152077,0.176697897,,11.57,,"This property is a single tenant property.  Reporting was completed by owner's agent.

LEED EB; O&M Project #1000067309 
Project Name: One Channel Center 

Total gross floor area = total rentable square footage (501,650)

UPS meter was deactivated effective 1/2/2014.",,0602750011,"2015, 2016, 2017, 2018, 2019, ",No,
One Channel Center Parking Structure,Compliant,Parking,116 W. First Street,02127,342090,4.4,,,Parking,2014,113,0.3,1507403.5,0.920867328,,,0.33,,"Property was acquired on 12/4/2015.  One Channel Center Parking, LLC.

100% leased to VPNE Parking Solutions, 

Reporting was completed by LL's agent.",,602749050,"2017, 2018, 2019, ",No,
One Charles Condominium,Compliant,Multifamily Housing,One Charles Street South,02116,326000,109.7,7,,Multifamily Housing,2004,2145.7,6.6,35775696.9,0.289531184,0.685588632,,24.83,,,,0501088139,"2015, 2016, 2017, 2018, 2019, ",No,
One Congress Street,Compliant,Parking,50 New Sudbury St.,02114,260471,59.4,,,"Convenience Store without Gas Station, Fast Food Restaurant, Office, Parking",1966,1068.4,4.1,15470196.4,0.672724125,0.269266549,,7.34,,"Redevelopment of garage/office in process, new redevelopment will consist of 1 LEED Platinum building, 4 LEED Gold buildings and 1 LEED Silver building.",,0302700000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Compliant - 15% Efficiency Improvement
One Faneuil Hall Square,Compliant,Office,One Faneuil Hall Square,02109,44287,75.8,45,,"Office, Retail Store",1980,223.3,5,3359071.8,0.564036154,0.387494724,,1.23,,,,303675000,"2016, 2017, 2018, 2019, ",No,
One Federal St,Compliant,Office,One Federal Street,02110,1119373,99.9,54,"2018, 2015","Data Center, Office, Other, Parking, Restaurant",1975,8006.4,7.2,111806338.6,0.561963703,,0.389745261,14.61,,,,1191515,"2014, 2015, 2017, 2018, 2019, ",Yes,Not Compliant
One Financial Center,Compliant,Office,One Financial Center,02111,1194138,62.2,58,"2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007","Fast Food Restaurant, Office, Parking",1984,5565.6,4.7,74269287.2,0.920867416,,,11.5,,Lommis portal is 675 Atlantic in Eversource portal Bldg ID 5196,,0304285000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Compliant - Energy Star Certification
One Greenway,Compliant,Multifamily Housing,99 Kneeland Street,02111,377960,34.4,91,2018,"Multifamily Housing, Other, Parking",2015,893.3,2.4,12995414,0.659211726,0.284140467,,15.78,,,,0304980010;0304980012;0304980016,"2017, 2018, 2019, ",No,
One Greenway + 66 Hudson,Compliant,Multifamily Housing,One Greenway,02111,301507,55.7,72,,Multifamily Housing,2015,1095.6,3.6,16804807.5,0.509778484,0.446414896,,38.88,,,,0304980014;0304980012;0304980010;0304980016,"2019, ",No,
One Gurney: 1 Gurney Street,Compliant,Multifamily Housing,1 Gurney Street,02120,77529,62.9,63,,"Multifamily Housing, Retail Store",2016,305.3,3.9,4874052.4,0.401730679,0.56374755,,22.71,,,,902908050,"2019, ",No,
One India - 29573,Compliant,Multifamily Housing,One India St,02109,130838,102.7,2,,"Multifamily Housing, Restaurant",1901,864,6.6,13440081.5,0.471234653,0.488270886,,35.97,,"2017-1  updated occupancy from 85% to 65%.
2015-1 updated occupancy from 90% to 85% per on-site team.
2014-2 restaurant website shows open 95.5 hr/week.  so reported 115 hrs/wk seems reasonable.",,0303823000,"2015, 2016, 2017, 2018, 2019, ",No,
One International Place,Compliant,Office,One International Place,02110,1171211,72.3,56,"2018, 2017, 2016, 2015, 2014","Data Center, Office, Other - Mall, Parking, Personal Services (Health/Beauty, Dry Cleaning, etc.), Restaurant",1986,6347.4,5.4,84701942.4,0.920867413,,,38.99,,,,0304075000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Compliant - LEED Certification
One Liberty Square,Compliant,Office,One Liberty Square,02109,173600,48.3,63,"2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011",Office,1926,627.7,3.6,8376314.7,0.920867408,,,7.45,,Conducted energy audit 06/2017.  Awarded LEED GOLD certification 2017.  ,,0303833000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Compliant - Energy Star Certification
One Palace Road,Compliant,College/University,1 Palace Road,02115,60000,Not Available,,,College/University,2002,0,0,Not Available,,,,9.28,,,, 0401842000,"2015, 2016, 2017, 2018, 2019, ",Yes,Extension
One Palace Road Garage,Compliant,Parking,1 Palace Road,02115,87840,Not Available,,,Parking,2002,0,0,Not Available,,,,Not Available,,,, 0401842000,"2015, 2016, 2017, 2018, 2019, ",Yes,Extension
One Post Office Square,Compliant,Office,One Post Office Square,02109,831283,66.1,74,"2018, 2017, 2016, 2015, 2013, 2012, 2010, 2009","Bank Branch, Office, Parking",1981,3899.6,4.7,54983662.9,0.751485389,0.183937476,,10.1,,"MACH Energy Report for Retail includes Retail and Garage use, so Retail meter and Garage meter were stopped at the end of October 2016 and Retail/Garage meter was created.",,0304160000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Compliant - Energy Star Certification
One State,Compliant,Office,1 State Street,02109,64428,6.8,,,Office,1928,32.7,0.5,436358.9,0.920867683,,,1037.27,,,,303899000,"2014, 2015, 2017, 2018, 2019, ",Yes,Not Compliant
One Western Ave,Compliant,Multifamily Housing,One Western Ave,02134,241946,Not Available,,,Multifamily Housing,2003,Not Available,Not Available,Not Available,,,,Not Available,,"DOES NOT INCLUDE GARAGE! 

Boston Data
1 WESTERN AV	
Parcel 2200481000	

Harvard Data
Root 06220
One Western Avenue	
1 Western Ave	
HUH
",,2200481000,"2015, 2016, 2017, 2018, 2019, ",No,
One Winthrop Square,Compliant,Office,1 Winthrop Square,02110,114257,64.3,71,"2018, 2017, 2016, 2015",Office,1873,478.5,4.2,7344154.3,0.507818845,0.448542932,,6.88,,,,0304618000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Compliant - Energy Star Certification
Onyx Hotel,Compliant,Hotel,155 Portland Street,02114,60106,106.6,53,,"Hotel, Parking",2004,404.8,6.7,6409073.3,0.423889682,0.539684372,,57.88,,,,0301646010,"2014, 2015, 2016, 2019, ",Yes,Not Compliant
Opioid Treatment Services,Municipal,Urgent Care/Clinic/Other Outpatient,300 Frontage Road,02127,3200,Not Available,,,Urgent Care/Clinic/Other Outpatient,2000,Not Available,Not Available,Not Available,,,,98.29,,,,801024036,"2016, 2017, 2018, 2019, ",No,
ORCHARD GARDENS,Municipal,K-12 School,906 Albany St.,02119,141872,75.5,33,,K-12 School,2002,660.9,4.7,10716549.9,0.361208607,0.607751773,,Not Available,,,,802110010,"2016, 2017, 2018, 2019, ",No,
Orchard Gardens,Compliant,Multifamily Housing,25 Ambrose Street,02481,75000,62.9,100,,Multifamily Housing,1900,267,3.6,4715547.6,0.148062632,0.839213965,,27.75,,,,0802195020,"2015, 2016, 2017, 2018, 2019, ",Yes,Not Compliant
Orchard Gardens Community Center,Municipal,Other - Recreation,2 Dearborn St,02119,10500,Not Available,,,Other - Recreation,2000,0,0,Not Available,,,,2.68,,,,802195010,"2016, 2017, 2018, 2019, ",No,
OTIS,Municipal,K-12 School,218 Marion St.,02128,35100,49.8,85,,K-12 School,1905,101,2.9,1748738.8,0.196028457,0.787126242,,Not Available,,,,106426000,"2016, 2017, 2018, 2019, ",No,
Our Lady's Guild House,Compliant,Multifamily Housing,20 Charlesgate West,02215,58320,11.7,100,,Multifamily Housing,1899,51,0.9,680744.7,0.920867253,,,36.98,,,,0503917001,"2017, 2018, 2019, ",No,
P.F. Redfiled LLC,Compliant,Office,50 Redfield Street,02122,43000,53.9,71,,"Office, Parking",1985,165.7,3.9,2319077,0.773072847,0.160494887,,4.4,,,,02418-001,"2016, 2017, 2018, 2019, ",No,
Palmer Dixon Courts,Compliant,Fitness Center/Health Club/Gym,780 Soldiers Field Rd,02134,44232,68.3,,,Fitness Center/Health Club/Gym,1964,203.3,4.6,3021532.9,0.094162162,,0.897746174,Not Available,,,,2200533000,"2015, 2016, 2017, 2018, 2019, ",Yes,Extension
Paris Street Community Center,Municipal,Other - Recreation,112 Paris St,02128,26704,156.2,,,Other - Recreation,2000,253.1,9.5,4171467.8,0.318490085,0.654141259,,Not Available,,,,105850000,"2016, 2017, 2018, 2019, ",No,
Paris Street Pool,Municipal,Fitness Center/Health Club/Gym,113 PARIS ST,02128,24896,143,,,Fitness Center/Health Club/Gym,2000,201.4,8.1,3561270.9,0.145195059,0.842327945,,Not Available,,,,105745000,"2016, 2017, 2018, 2019, ",No,
Park Associates,Compliant,Multifamily Housing,231 Park Drive,02215,58002,94.1,70,,Multifamily Housing,1920,303.9,5.2,5456499.2,0.109157236,0.881462605,,58.41,,,,2100029000,"2015, 2016, 2017, 2018, 2019, ",No,
Park Lane,Compliant,Multifamily Housing,One Park Lane,02210,427586,51.9,87,,"Multifamily Housing, Other, Parking",2006,1412.5,3.3,22202615.4,0.443199718,0.518714953,,41.39,,Parcel IDs: 0602680150 0602680252 0602680250,,0602680150;0602680252,"2015, 2016, 2017, 2018, 2019, ",No,
Park Science Center,Compliant,College/University,300 The Fenway,02115,103200,0,,,College/University,1972,0.1,0,2796.9,,1,,38.26,,,, 0401842000,"2015, 2016, 2017, 2018, 2019, ",Yes,Extension
Park Square Building,Compliant,Office,31 St. James Ave,02116,507664,92.6,66,,Office,1922,2994.9,5.9,47027427.3,0.44596869,0.515708037,,19.31,,,,0501156000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Extension
Parker Hill,Compliant,Multifamily Housing,170 Parker Hill Avenue,02120,61930,68.3,84,,Multifamily Housing,1990,248.2,4,4229609.3,0.234520337,0.745326737,,42.75,,,,1001052000,"2015, 2016, 2017, 2018, 2019, ",No,
Parker Hill Branch,Municipal,Library,1497 Tremont St,02120,9136,97.9,,,Library,2000,48,5.3,894827.7,0.023359211,0.974633441,,Not Available,,,,1000010005,"2016, 2017, 2018, 2019, ",No,
Parking Garage,Compliant,Parking,45 Avenue Louis Pasteur,02115,50000,6.4,,,Parking,1948,24.1,0.5,321273.4,0.920867061,,,Not Available,,,,401847015,"2017, 2018, 2019, ",No,
PARKMAN,Municipal,K-12 School,25 Walk Hill St.,02130,39586,100.6,36,,K-12 School,1899,222.3,5.6,3983507.4,0.113343683,0.876916408,,Not Available,,,,1904771000,"2016, 2017, 2018, 2019, ",No,
Parkman House,Municipal,Other,33 Beacon St,02108,18000,43.4,,,Other,2000,47.2,2.6,781523.6,0.30567219,0.66806044,,Not Available,,,,501617000,"2016, 2017, 2018, 2019, ",No,
Parkside Tower: 91 Westland,Compliant,Multifamily Housing,91 Westland Avenue,02115,146400,17,100,,Multifamily Housing,1910,183.5,1.3,2491996.1,0.865585664,0.060032197,,36.07,,Everything Estimated,,401474000,"2016, 2017, 2018, 2019, ",No,
Parmelee Court-1762,Compliant,Multifamily Housing,1762 Washington Street,02118,50857,67.8,78,,"Multifamily Housing, Parking",1991,201,4,3445714,0.220821784,0.760202443,,62.56,,,,0801615010,"2015, 2016, 2017, 2018, 2019, ",No,
Parris Landing Condominium Trust: 42 8th Street,Compliant,Multifamily Housing,42 8th Street,02129,320568,73.1,80,,Multifamily Housing,1979,1364.4,4.3,23442426.7,0.214729823,0.766817865,,53.09,,,,0203506010,"2015, 2016, 2017, 2018, 2019, ",No,
Peninsula I,Compliant,Multifamily Housing,401 Mt Vernon St,02125,170531,100.6,30,,"Multifamily Housing, Parking, Swimming Pool",2006,1026.2,6,17161091.2,0.281946305,0.693825303,,44.33,,,,1303412000,"2017, 2018, 2019, ",No,
Peninsula II,Compliant,Multifamily Housing,375 Mt Vernon St,02125,115487,87,59,,"Multifamily Housing, Parking",2008,584.8,5.1,10043357.2,0.215850789,0.76560058,,48.05,,,,1303411010,"2017, 2018, 2019, ",No,
Penmark Condo Association,Compliant,Multifamily Housing,21 Father Francis Gilday Street,02118,74715,54.5,73,,Multifamily Housing,2009,244.7,3.3,4070006.3,0.296168939,0.678380522,,23.59,,,,0801401510,"2015, 2016, 2017, 2018, 2019, ",No,
Penny Savings Bank,Compliant,Other - Lodging/Residential,30 Union Park Street ,02118,52503,22,,,Other - Lodging/Residential,2007,69.1,1.3,1154231.7,0.284846517,0.690675884,,24.58,,Condominium Building.  Underground parking.  Not standalone garage. ,,0305960000,"2015, 2017, 2018, 2019, ",No,
PERKINS,Municipal,K-12 School,50 Rev. Burke St.,02127,28407,69.1,69,,K-12 School,1926,110.5,3.9,1963365.1,0.134631668,0.85379897,,5.6,,,,700540000,"2016, 2017, 2018, 2019, ",No,
Perkins Square,Compliant,Multifamily Housing,2 - 18 Perkins Square,02130,129236,91.5,,,"Multifamily Housing, Parking",1927,868.7,6.7,11830372.8,0.013865265,0.037555875,,45.34,,,,1002148000,"2016, 2017, 2018, 2019, ",No,
PERRY,Municipal,K-12 School,745 E. Seventh St.,02127,38774,59.5,81,,K-12 School,1904,129.4,3.3,2308691,0.124363368,0.864949835,,Not Available,,,,702684000,"2016, 2017, 2018, 2019, ",No,
Peterborough Condo,Compliant,Multifamily Housing,82 & 86 Jersey Street,02115,23803,93.8,65,,Multifamily Housing,1920,127.6,5.4,2232261.6,0.170068971,0.815316538,,47.62,,,,504224000,"2017, 2018, 2019, ",No,
Peterborough Gardens Condo,Compliant,Multifamily Housing,24 and 30 Peterborough Street,02215,24432,127.1,23,,Multifamily Housing,1987,175.7,7.2,3104304.3,0.147373088,0.83996279,,58.37,,,,504236000,"2017, 2018, 2019, ",No,
Peterborough Housing: 36-46 Peterborough,Compliant,Multifamily Housing,36-46 Peterborough Street,02215,57061,108.3,85,,Multifamily Housing,1978,449.4,7.9,6179373.5,0.172392274,0.076667643,,57.59,,"Building split up over four parcel ID #'s 504232000; 504233000; 504234000; 504235000
 Per the city instruction 3/30/17: The ideal is to always go for reporting buildings as separate entries in Portfolio Manager. If they have multiple parcel numbers, than just list all of the parcel numbers in the “Boston Energy Reporting ID” section with a comma in between However if you have multiple separate buildings that all share energy use and have joint meters that can't be separated, it gets more complicated. If it seems reasonable and appropriate, than we usually ask that the total energy/water use is divided up between the different buildings by square footage and each building be reported separately with that noted in comments section.In this case, as these buildings are all residential usage, I would say take whatever joint meters they have and divy out the energy usage by a ratio of square footage. ",,504232000; 504233000; 504234000; 504235000,"2017, 2018, 2019, ",No,
Peterborough Housing: 39 Peterborough (35-45 Peterborough),Compliant,Multifamily Housing,39 Peterborough (35-45 Peterborough),02215,75770,70.4,71,,Multifamily Housing,1978,383.6,5.1,5337318.3,0.157422649,0.11676182,,46.93,,"Boston Energy Reporting ID: 504221000; 0504222000; 0504223000; 0504220000
Per the city instruction 3/30/17: The ideal is to always go for reporting buildings as separate entries in Portfolio Manager. If they have multiple parcel numbers, than just list all of the parcel numbers in the “Boston Energy Reporting ID” section with a comma in between However if you have multiple separate buildings that all share energy use and have joint meters that can't be separated, it gets more complicated. If it seems reasonable and appropriate, than we usually ask that the total energy/water use is divided up between the different buildings by square footage and each building be reported separately with that noted in comments section.In this case, as these buildings are all residential usage, I would say take whatever joint meters they have and divy out the energy usage by a ratio of square footage. ",,504221000; 0504222000; 0504223000; 0504220000,"2017, 2018, 2019, ",No,
Peterborough Housing: 72 Peterborough St (72-82),Compliant,Multifamily Housing,72 Peterborough St,02215,83148,89,44,,Multifamily Housing,1978,536.2,6.4,7396528.5,0.296289862,0.092458915,,24.13,,"Boston Energy Report IDs 504308000,0504307000,0504306000,0504305000,0504304000
Per the city instruction 3/30/17: The ideal is to always go for reporting buildings as separate entries in Portfolio Manager. If they have multiple parcel numbers, than just list all of the parcel numbers in the “Boston Energy Reporting ID” section with a comma in between However if you have multiple separate buildings that all share energy use and have joint meters that can't be separated, it gets more complicated. If it seems reasonable and appropriate, than we usually ask that the total energy/water use is divided up between the different buildings by square footage and each building be reported separately with that noted in comments section.In this case, as these buildings are all residential usage, I would say take whatever joint meters they have and divy out the energy usage by a ratio of square footage. 4/4/2018: sqft corrected and updated to match all parcels in tax assess. & confirmed by owner",,"0504308000,0504307000,0504306000,0504305000,0504304000","2015, 2017, 2018, 2019, ",No,
PHILBRICK,Municipal,K-12 School,40 Philbrick St.,02131,20062,62.2,68,,K-12 School,1913,72.8,3.6,1248267.6,0.22124805,0.759739338,,Not Available,,,,1806519000,"2016, 2017, 2018, 2019, ",No,
PHS-BWH Main Campus,Compliant,Hospital (General Medical & Surgical),75 Francis Street,02115,2138279,242.1,41,,Hospital (General Medical & Surgical),1910,36743.93924,17.18388444,517612830.5,0.461376376,,0.498976326,Not Available,,,,0401896000,"2014, 2015, 2016, 2017, 2018, 2019, ",No,
PHS-BWH Shapiro Cardiovascular Center & BTM,Compliant,Hospital (General Medical & Surgical),70 Francis Street and 60 Fenwood,02115,865000,524.1,1,,Hospital (General Medical & Surgical),2008,27566.35762,31.86862153,453383856.2,0.063948899,0.702921374,0.227634428,Not Available,,"This account is now also services 400,000 SF laboratory building under construction.  EUI no longer accurate.  Began service to construction site in January 2015.  Estimate about 800,000 kWh per month going to the new building at this time.

This electrical account is now also serving the occupied laboratory building next door.",,1000247010,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Compliant - Institutional  Master Plan
PHS-BWH-Boston Lying In,Compliant,Outpatient Rehabilitation/Physical Therapy,221 Longwood Avenue,02215,247418,285.1,,,Outpatient Rehabilitation/Physical Therapy,1930,5104.395082,20.63065372,70549435.2,0.405885322,,0.559235872,Not Available,,,,0401845000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Compliant - Institutional  Master Plan
PHS-BWH-ServiCenter Garage,Compliant,Parking,"500 Brookline Avenue, or",02115,71806,219,,,"Medical Office, Parking",1970,1152.124626,16.04496317,15726430.4,0.303344086,,0.670588756,Not Available,,"Combination Parking, Dr. Offices, and HVAC shops for main hospital.",,1000240000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Compliant - Institutional  Master Plan
PHS-Faulkner - West Roxbury,Compliant,Hospital (General Medical & Surgical),1245 Centre Street,02132,50242,30,100,,"Hospital (General Medical & Surgical), Parking",1980,0.010276785,0.000204546,1509445.9,0.920749318,0.000128193,,Not Available,,,,2003599000,"2014, 2015, 2016, 2017, 2019, ",Yes,Compliant - Institutional  Master Plan
PHS-Faulkner Hospital,Compliant,Hospital (General Medical & Surgical),1153 Centre Street,02130,494179,335.5,49,,Hospital (General Medical & Surgical),1972,8115.663463,16.42251788,165805254.1,0.072771983,0.919362925,,Not Available,,,,1902600000,"2014, 2016, 2017, 2018, 2019, ",Yes,Compliant - Institutional  Master Plan
PHS-MEEI - 325 Cambridge St,Compliant,Office,325 Cambridge St,02114,39000,98.9,12,,Office,1920,0,0,3856322.9,0.92086745,,,45.8,,,,0300438010,"2014, 2015, 2016, 2017, 2018, 2019, ",No,
PHS-MEEI - Main building,Compliant,Hospital (General Medical & Surgical),243 Charles Street,02114,389552,394.5,1,,Hospital (General Medical & Surgical),1973,4040.610777,10.37245548,153691071.6,0.334387761,0.009036791,0.627840618,74.73,,,,0300381001,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Compliant - Institutional  Master Plan
PHS-MEEI - SERI,Compliant,Laboratory,20 Staniford St,02114,71900,496,,,Laboratory,2004,815.564353,11.3430369,35660114.7,0.410065101,0.005575128,0.549121784,93.76,,,,0300624000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Not Compliant
PHS-MEEI -Longwood,Compliant,Ambulatory Surgical Center,800 Huntington Ave,02115,76300,214.7,,,Ambulatory Surgical Center,2012,440.4865328,5.773086931,16378635,0.454556339,0.506382431,,34.06,,,,1000894000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Not Compliant
PHS-MGH Institute of Health Professions,Compliant,Office,36 First Avenue,02129,64925,77.4,88,,Office,1865,28.87110586,0.444683956,5024712,0.821241314,0.108187216,,Not Available,,,,0203504000 0203504001,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Compliant - Institutional  Master Plan
PHS-MGH Main Campus,Compliant,Hospital (General Medical & Surgical),55 Fruit St.,02114,3912529,255.6,20,,"Hospital (General Medical & Surgical), Parking",1811,3936.108422,1.006026645,999907848.4,0.366782078,0.004390005,0.597309358,40.65,,,,0300370000 0300445000 0300445001 0300370000,"2014, 2015, 2016, 2017, 2018, 2019, ",Yes,Compliant - Institutional  Master Plan
