Property Name,Reported,Tax Parcel,Property Type,Address, Zip,"Gross Area (sq ft) 
",Site EUI (kBTU/sf),ENERGY STAR Score,Energy Star Certified,Property Uses,Year Built,GHG Emissions (MTCO2e),GHG Intensity (kgCO2/sf),Total Site Energy (kBTU),% Electricity,% Gas,% Steam,% Fuel Oil,% District Hot Water,% District Chilled Water,"% Other (Diesel #2, Kerosene, Propane or Other Fuel)",Water Intensity (gal/sf),Onsite Renewable (kWh),User Submitted Info,User Submitted Link
Seeley Mudd,Reported,401882000,Laboratory,250 Longwood,2115,91622,,,,Laboratory,1977,1929.8,21.1,30509266.6,0.464,0.6,0.2532,,,0.3398,,15.45,Not Available,"The Medical Area Total Energy Plant (MATEP) located at 474 Brookline Ave., Boston supplies the majority of utilities (Steam, Chilled Water and Electricity) for the Harvard Medical School Campus. The Campus receives one utility invoice from MATEP. Buildings are individually sub metered. Seeley Mudd building operates a 24/7 critical environment laboratory for scientfic research.  ",
Countway,Reported,401882000,College/University,10 Shattuck St,2115,162771,,,,College/University,1963,1456.7,8.9,23253304.5,0.2522,,0.45,,,0.3428,,2.88,Not Available,"The Medical Area Total Energy Plant (MATEP) located at 474 Brookline Ave., Boston supplies the majority of utilities (Steam, Chilled Water and Electricity) for the Harvard Medical School Campus. The Campus receives one utility invoice from MATEP. Buildings are individually sub metered. ",
Goldenson,Reported,401882000,Laboratory,220 Longwood,2115,133455,,,,Laboratory,1905,1933,14.5,30493881.8,0.3336,,0.3558,,,0.316,,20.82,Not Available,"The Medical Area Total Energy Plant (MATEP) located at 474 Brookline Ave., Boston supplies the majority of utilities (Steam, Chilled Water and Electricity) for the Harvard Medical School Campus. The Campus receives one utility invoice from MATEP. Buildings are individually sub metered. Gas Meter is labeled for 230 Longwood Ave. ",
Armenise,Reported,401882000,Laboratory,210 Longwood Ave,2115,133645,,,,Laboratory,1905,1724.2,12.9,27403352.9,0.339,0.13,0.3594,,,0.3354,,20.98,Not Available,"The Medical Area Total Energy Plant (MATEP) located at 474 Brookline Ave., Boston supplies the majority of utilities (Steam, Chilled Water and Electricity) for the Harvard Medical School Campus. The Campus receives one utility invoice from MATEP. Buildings are individually sub metered",
Vanderbilt Hall,Reported,401850000,College/University,107 Avenue Louis Pasteur,2115,165820,,,,College/University,1927,822.4,5,12495713.6,0.2661,,0.6188,,,0.115,,13.21,Not Available,"The Medical Area Total Energy Plant (MATEP) located at 474 Brookline Ave., Boston supplies the majority of utilities (Steam, Chilled Water and Electricity) for the Harvard Medical School Campus. The Campus receives one utility invoice from MATEP. Buildings are individually sub metered. ",
New Research Building (NRB),Reported,401849000,Laboratory,77 Avenue Louis Pasteur,2115,761795,,,,"Laboratory, Parking",2003,12942.2,23,190346139.1,0.4347,0.21,0.5631,,,,,58.77,Not Available,"The Medical Area Total Energy Plant (MATEP) on Brookline Ave., Boston supplies Steam to the NRB. NSTAR provides electrical service. NRB building operates a 24/7 critical environment laboratory for scientfic research.  ",
Warren Alpert (WAB),Reported,401882000,Laboratory,200 Longwood Ave,2115,286194,,,,"Laboratory, Parking",1992,5366.2,26.9,85822453.4,0.267,0.78,0.3854,,,0.3462,,35.12,Not Available,"The Medical Area Total Energy Plant (MATEP) located at 474 Brookline Ave., Boston supplies the majority of utilities (Steam, Chilled Water and Electricity) for the Harvard Medical School Campus. The Campus receives one utility invoice from MATEP. Buildings are individually sub metered. WAB building operates a 24/7 critical environment laboratory for scientific research.  ",
28 Travis,Reported,2200254000,Office,28 Travis St,2134,43190,,64,,Office,2006,162,3.8,2612879.7,0.5226,0.4774,,,,,,7.41,Not Available,,
Tosteson Medical Education Center (TMEC),Reported,401882000,College/University,260 Longwood Ave,2115,180027,,,,College/University,1905,2368.2,13.2,38087627.5,0.1993,,0.4382,,,0.3625,,20.71,Not Available,"The Medical Area Total Energy Plant (MATEP) located at 474 Brookline Ave., Boston supplies the majority of utilities (Steam, Chilled Water and Electricity) for the Harvard Medical School Campus. The Campus receives one utility invoice from MATEP. Buildings are individually sub metered. ",
90 Seattle St,Reported,2200181000,Retail Store,90 Seattle Street,2134,36572,,99,,Retail Store,2005,80.9,2.2,1478343.9,0.933,0.967,,,,,,Not Available,Not Available,,
175 North Harvard Street Building,Reported,2200534000,Parking,175 North Harvard Street,2134,39709,,,,Parking,2006,215.8,5.4,3692387,0.3135,0.6865,,,,,,12.43,Not Available,,
114 Western Ave,Reported,2200268000,Office,114 Western Ave,2134,70849,,82,,"Office, Other, Urgent Care/Clinic/Other Outpatient",1925,206.2,2.9,3049818.8,0.8523,0.1477,,,,,,5.02,Not Available,NOTE: Property undergoing major construction renovations in 2019,
Batten Hall,Reported,2200500000,College/University,125 Western Avenue,2134,77029,,,,College/University,1963,215.2,2.8,3484104.6,0.582,0.4918,,,,,,10.85,131620,"Harvard Real Estate (HRE) owns Batten Hall (aka Harvard Innovation Lab, or 125 Western Avenue). HBS pays for utilities and occupies the building.

A 113 solar PV system was installed at Batten Hall in September of 2014.",
Soldiers Field Park Garage,Reported,2200480000,Parking,111 Western Avenue,2134,270637,,,,Parking,1975,115.8,0.4,1651154.2,1,,,,,,,Not Available,Not Available,"Boston Data
610 640 SOLDIERS FIELD RD
Parcel	2200480000

Harvard Data
Root	06114
Soldiers Field Park Garage	
111 Western Ave
TS
",
Tata Hall,Reported,2200530000,Residence Hall/Dormitory,53 Harvard Way,2163,157587,,99,,Residence Hall/Dormitory,2012,240.6,1.5,3776411.5,0.6225,0.3775,,,,,,18.08,83464,"Until Jan 2017, water was allocated by gross square footage for this property, and did not represent actual usage. After January 2017, monthly readings are accurate. CY2020 Water is allocated by gross square footage for this property, and does not represent actual usage.

A 71 kW solar PV system had been installed at Tata Hall in November 2013.",
Blodgett Pool,Reported,2200533000,College/University,55 North Harvard Street,2134,55247,,,,College/University,1977,334.6,6.1,5926607.4,0.1967,0.833,,,,,,0,Not Available,,
One Western Ave,Reported,2200481000,Multifamily Housing,One Western Ave,2134,241946,,73,,Multifamily Housing,2003,931.6,3.9,13722637.6,0.3984,,0.616,,,,,25.77,Not Available,"This is a residential facility with an attached parking garage the garage is included in this reporting parcel, but energy use is excluded based on BERDO reporting instructions.

Boston Data
1 WESTERN AV	
Parcel 2200481000	

Harvard Data
Root 06220
One Western Avenue	
1 Western Ave	
HUH

One Western Parking Garage - Transportation - included but energy not reported
",
Beren Tennis Pavilion,Reported,2200533000,Other - Recreation,71 North Harvard Street,2134,6117,,,,Other - Recreation,1899,35.1,5.7,500343.4,1,,,,,,,6.08,Not Available,"This electric meter provides service not just to the small clubhouse facility for the tennis complex, it also feeds all of the exterior lighting and other loads for the 18-court exterior facility.",
"Buildings 1, 2, 3 & 4 (Rollup)",Reported,401880000,College/University,650-665-677 Huntington Ave,2115,534676,,,,College/University,1960,9795.9,18.3,139906324,0.2531,0.12,0.3865,,,0.3592,,1068.5,Not Available,"This property is being submitted as a roll-up of 4 different buildings within this Parcel. Profile includes the following buildings with combined total energy and water consumption:

665 Huntington Ave - Building #1
665 Huntington Ave - Building #2
650 Huntington Ave - Building #3
677 Huntington Ave - Building #4 ",
McCulloch Hall,Reported,2200530000,Residence Hall/Dormitory,44 Harvard Way,2163,51821,,84,,Residence Hall/Dormitory,1926,177.2,3.4,2601084.5,0.465,,0.5395,,,,,18.14,Not Available,"Until Jan 2017, water was allocated by gross square footage for this property, and did not represent actual usage. After January 2017, monthly readings are accurate. CY2020 Water is allocated by gross square footage for this property, and does not represent actual usage.",
Aldrich Hall,Reported,2200530000,College/University,35 Harvard Way,2163,105818,,,,College/University,1953,387.6,3.7,5684755.7,0.4787,,0.5213,,,,,17.5,Not Available,"Water for this property is not submetered, where available actual water readings are used as follows:
- Prior to Jan 2017, water was allocated by gross square footage for this property, and did not represent actual usage. 
- January 2017 through December 2019 monthly meter readings are used
- 2020 water is allocated by gross square footage for this property, and does not represent actual usage.",
Esteves Hall,Reported,2200530000,Residence Hall/Dormitory,45 Harvard Way,2163,78375,,84,,Residence Hall/Dormitory,1969,275.7,3.5,4051145.2,0.447,,0.5593,,,,,17.45,Not Available,"Formerly called Baker Hall, a complete gut renovation took place from Feb 2014 to March 2015. This can account for the decreased or incomplete usages. The water had been shut off to the building in Feb 2014. The steam had also been shut off from June 2014 until Dec 2014.

Until Jan 2017, water was allocated by gross square footage for this property, and did not represent actual usage. After January 2017, monthly readings are accurate. CY2020 Water is allocated by gross square footage for this property, and does not represent actual usage.

Steam usage is allocated based on GSF, shared meter with Chao and McCollum Center.",
Mellon Hall,Reported,2200530000,Residence Hall/Dormitory,670 Soldiers Field Road,2163,47698,,72,,Residence Hall/Dormitory,1926,240.9,5.1,3576229.2,0.267,,0.7393,,,,,17.92,Not Available,"Until Jan 2017, water was allocated by gross square footage for this property, and did not represent actual usage. After January 2017, monthly readings are accurate. CY2020 Water is allocated by gross square footage for this property, and does not represent actual usage.

Steam usage is allocated as 88% of the meter shared with Wilder House.  Allocation is by GSF.",
Baker Library,Reported,2200530000,Library,25 Harvard Way,2163,157820,,,,Library,1927,694.1,4.4,10283656.4,0.2945,,0.755,,,,,20.4,50210,"Until Jan 2017, water was allocated by gross square footage for this property, and did not represent actual usage.  After January 2017, monthly readings are accurate. CY2020 Water is allocated by gross square footage for this property, and does not represent actual usage.

A solar PV system was installed Spring 2017 at Baker Library.

",
Class of 1959 Chapel,Reported,2200530000,Worship Facility,66 North Harvard Street,2163,6932,,1,,Worship Facility,1992,47.2,6.8,698574.7,0.296,,0.74,,,,,16.44,Not Available,"Until Jan 2017, water was allocated by gross square footage for this property, and did not represent actual usage. After Jan 201, monthly readings are accurate. CY2020 Water is allocated by gross square footage for this property, and does not represent actual usage.",
Chase Hall,Reported,2200530000,Residence Hall/Dormitory,34 Harvard Way,2163,50796,,71,,"Office, Residence Hall/Dormitory",1926,294.1,5.8,4382747.9,0.1873,,0.8127,,,,,17.39,Not Available,"Until Jan 2017, water was allocated by gross square footage for this property, and did not represent actual usage.  After January 2017, monthly readings are accurate. CY2020 Water is allocated by gross square footage for this property, and does not represent actual usage. 

Steam usage is allocated as 81% of the meter shared with Greenhill House and Dillon House. Allocation is by GSF.",
Chilled Water Plant,Reported,2200530000,Other - Utility,80 Harvard Way,2163,19627,,,,Other - Utility,1991,635.8,32.4,9172888.5,0.7798,,0.222,,,,,17.42,Not Available,"The HBS Chilled Water Plant has a very high electricity usage because the chilled water generated at the plant is used for cooling the whole campus.

Until Jan 2017, water was allocated by gross square footage for this property, and did not represent actual usage. After Jan 2017, monthly readings are accurate. CY2020 Water is allocated by gross square footage for this property, and does not represent actual usage.",
Cumnock Hall,Reported,2200530000,Office,33 Harvard Way,2163,26137,,39,,Office,1974,156.4,6,2279386.9,0.5957,,0.443,,,,,17.44,Not Available,"Until Jan 2017, water was allocated by gross square footage for this property, and did not represent actual usage. After January 2017, monthly readings are accurate. CY2020 Water is allocated by gross square footage for this property, and does not represent actual usage.",
Dean's House,Reported,2200530000,Single Family Home,41 Harvard Way,2163,10978,,,,Single Family Home,1929,34.9,3.2,609317.7,0.245,0.755,,,,,,18.16,Not Available,"Water is allocated by gross square footage for this property, and does not represent actual usage
",
Dillon House,Reported,2200530000,Office,30 Harvard Way,2163,5674,,73,,Office,1965,31.9,5.6,478843.8,0.817,,0.9183,,,,,15.06,Not Available,"Steam usage is allocated as 10% of the meter shared with Chase Hall and Greenhill House.  Allocation is by GSF. Water is allocated by gross square footage for this property, and does not represent actual usage.",
Connell House,Reported,2200530000,Office,20 Harvard Way,2163,6067,,99,,Office,1940,11.5,1.9,169261.5,0.3521,,0.6479,,,,,18.78,Not Available,"Until Jan 2017, water was allocated by gross square footage for this property, and did not represent actual usage. After Jan 201, monthly readings are accurate. CY2020 Water is allocated by gross square footage for this property, and does not represent actual usage.

Steam usage is allocated as 3% of the meter shared with Gallatin, Hamilton, Morris, Loeb, Ludcke, Wyss. Allocation is by GSF.",
Gallatin Hall,Reported,2200530000,Residence Hall/Dormitory,24 Harvard Way,2163,50956,,84,,Residence Hall/Dormitory,1926,163.8,3.2,2392312.7,0.557,,0.443,,,,,17.33,Not Available,"Until Jan 2017, water was allocated by gross square footage for this property, and did not represent actual usage. After January 2017, monthly readings are accurate. CY2020 Water is allocated by gross square footage for this property, and does not represent actual usage.

Steam usage is allocated as 29% of the meter shared with Connell, Hamilton, Morris, Loeb, Ludcke, Wyss. Allocation is by GSF. ",
Glass Hall,Reported,2200530000,Office,660 Soldiers Field Road,2163,7563,,83,,Office,1926,33.1,4.4,494499.6,0.147,,0.8593,,,,,18.84,Not Available,"Until Jan 2017, water was allocated by gross square footage for this property, and did not represent actual usage. After January 2017, monthly readings are accurate. CY2020 Water is allocated by gross square footage for this property, and does not represent actual usage.
",
Chao Center,Reported,2200530000,College/University,49 Harvard Way,2163,87000,,,,"College/University, Office, Restaurant",2016,391.3,4.5,5871193.3,0.4584,0.197,0.4319,,,,,17.68,Not Available,"Steam usage is allocated based on GSF, shared meter with Esteves Hall and McCollum Center.

CY2020 Water is allocated by gross square footage for this property, and does not represent actual usage.",
Hamilton Hall,Reported,2200530000,Residence Hall/Dormitory,700 Soldiers Field Road,2163,49297,,90,,Residence Hall/Dormitory,1926,135.9,2.8,1989982,0.541,,0.4959,,,,,17.34,Not Available,"Until Jan 2017, water was allocated by gross square footage for this property, and did not represent actual usage. After January 2017, monthly readings are accurate. CY2020 Water is allocated by gross square footage for this property, and does not represent actual usage.

Steam usage is allocated as 27% of the meter shared with Gallatin, Connell, Morris, Loeb, Ludcke, Wyss. Allocation is by GSF.",
Greenhill House,Reported,2200530000,Office,40 Harvard Way,2163,5940,,79,,Office,1965,30.3,5.1,453356.6,0.1271,,0.8729,,,,,19.18,Not Available,"Water is allocated by gross square footage for this property, and does not represent actual usage. Steam usage is allocated as 9% of the meter shared with Chase Hall and Dillon House. Allocation is by GSF.",
Loeb House - Boston,Reported,2200530000,Office,10 Harvard Way,2163,6067,,95,,Office,1940,13.5,2.2,200371.5,0.274,,0.7296,,,,,18.78,Not Available,"Water is allocated by gross square footage for this property, and does not represent actual usage. Steam usage is allocated as 4% of the meter shared with Gallatin, Hamilton, Morris, Connell, Ludcke, Wyss. Allocation is by GSF.",
Ludcke House,Reported,2200530000,Office,690 Soldiers Field Road,2163,9611,,98,,Office,1926,13.9,1.4,205672.1,0.2892,,0.718,,,,,17.79,Not Available,"Until Jan 2017, water was allocated by gross square footage for this property, and did not represent actual usage. After January 2017, monthly readings are accurate. CY2020 Water is allocated by gross square footage for this property, and does not represent actual usage.

Steam usage is allocated as 4% of the meter shared with Gallatin, Hamilton, Morris, Loeb, Connell, Wyss. Allocation is by GSF.",
McArthur Hall,Reported,2200530000,Residence Hall/Dormitory,47A Harvard Way,2163,107673,,95,,Residence Hall/Dormitory,1999,289.6,2.7,4300281.5,0.2563,,0.7437,,,,,18.25,Not Available,"Until Jan 2017, water was allocated by gross square footage for this property, and did not represent actual usage. After January 2017, monthly readings are accurate. CY2020 Water is allocated by gross square footage for this property, and does not represent actual usage.
",
McCollum Center,Reported,2200530000,Social/Meeting Hall,47 Harvard Way,2163,18925,,,,Social/Meeting Hall,1969,65,3.4,957949.5,0.385,,0.6195,,,,,18.06,Not Available,"Steam usage is allocated based on GSF, shared meter with Chao and Esteves Hall. When Esteves was under construction, McCollum was being heated from McArthur.

Until Jan 2017, water was allocated by gross square footage for this property, and did not represent actual usage. After Jan 2017, monthly readings are accurate. CY2020 Water is allocated by gross square footage for this property, and does not represent actual usage.
",
Morgan Hall,Reported,2200530000,Office,15 Harvard Way,2163,117707,,97,,Office,1927,247.8,2.1,3620054.4,0.5493,,0.457,,,,,19.12,55957,"Until Jan 2017, water was allocated by gross square footage for this property, and did not represent actual usage. After January 2017, monthly readings are accurate. CY2020 Water is allocated by gross square footage for this property, and does not represent actual usage.

A 48 kW solar PV system had been installed at Morgan Hall in March 2014.",
Morris Hall,Reported,2200530000,Residence Hall/Dormitory,14 Harvard Way,2163,50786,,96,,Residence Hall/Dormitory,1926,120.9,2.4,1779737.6,0.445,,0.5955,,,,,17.39,Not Available,"Until Jan 2017, water was allocated by gross square footage for this property, and did not represent actual usage. After January 2017, monthly readings are accurate. CY2020 Water is allocated by gross square footage for this property, and does not represent actual usage.

Steam usage is allocated as 29% of the meter shared with Gallatin, Hamilton, Connell, Loeb, Ludcke, Wyss. Allocation is by GSF.",
Shad Hall,Reported,2200530000,Mixed Use Property,70 North Harvard Street,2163,132424,,,,"Data Center, Office, Other - Recreation",1990,839,6.3,13597697.4,0.3836,0.4615,0.1549,,,,,4.82,35451,"Shad Hall has its own water meter.
Shad data center electric meter is a submeter of the building electric meter. 

A 35 kW solar PV system was installed approx. 10 years ago.",
Wyss Hall,Reported,2200530000,Office,710 Soldiers Field Road,2163,6290,,93,,Office,1926,19.8,3.1,289509.7,0.495,,0.55,,,,,18.11,Not Available,"Until Jan 2017, water was allocated by gross square footage for this property, and did not represent actual usage. After January 2017, monthly readings are accurate. CY2020 Water is allocated by gross square footage for this property, and does not represent actual usage.

Steam usage is allocated as 4% of the meter shared with Gallatin, Hamilton, Morris, Loeb, Ludcke, Connell. Allocation is by GSF.",
Spangler Center,Reported,2200490000,Other - Entertainment/Public Assembly,117 Western Ave,2163,139437,,,,Other - Entertainment/Public Assembly,2000,803.8,5.8,12297825,0.295,0.16,0.5494,,,,,17.57,Not Available,"Until Jan 2017, water was allocated by gross square footage for this property, and did not represent actual usage. After January 2017, monthly readings are accurate. CY2020 Water is allocated by gross square footage for this property, and does not represent actual usage.
",
Rock Center,Reported,2200530000,Office,60 North Harvard Street,2163,27782,,66,,Office,1969,125.8,4.5,1857235.1,0.3646,,0.6354,,,,,17.43,Not Available,"Until Jan 2017, water was allocated by gross square footage for this property, and did not represent actual usage. After January 2017, monthly readings are accurate. CY2020 Water is allocated by gross square footage for this property, and does not represent actual usage.",
Wilder House,Reported,2200530000,Office,680 Soldiers Field Road,2163,6377,,94,,Office,1926,27.2,4.3,406814.2,0.1137,,0.8863,,,,,17.87,Not Available,"Until March 2019, water was allocated by gross square footage for this property, and did not represent actual usage. After March 2019, monthly readings are accurate. CY2020 Water is allocated by gross square footage for this property, and does not represent actual usage.

Steam usage is allocated as 12% of the meter shared with Mellon Hall.  Allocation is by GSF.",
Teele Hall,Reported,2201058010,Office,230 Western Ave,2134,52688,,90,,Office,1984,142.5,2.7,2116848.3,0.835,0.165,,,,,,3.6,29949,A 25 kW solar PV system was installed March 2017,
Shattuck Int’l House,Reported,2100005010,Multifamily Housing,203 Park Drive,2215,60077,,98,"2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2006",Multifamily Housing,1920,167.8,2.8,2940814.2,0.2311,0.7689,,,,,,17.04,Not Available,,
Hawes Hall,Reported,2200530000,College/University,37 Harvard Way,2163,61104,,,,College/University,2002,221.5,3.6,3206977.8,0.7121,,0.2879,,,,,17.25,Not Available,"Electricity usage is high because Crimson Commons electricity load comes off of this building. Crimson Commons can account for ~72,000 kWh monthly. Electricity was not deducted from the Hawes meter, but I manually added electricity usage for Crimson Commons. 

Until Jan 2017, water was allocated by gross square footage for this property, and did not represent actual usage. After January 2017, monthly readings are accurate. CY2020 Water is allocated by gross square footage for this property, and does not represent actual usage.
",
Cotting House,Reported,2200530000,Office,50 Harvard Way,2163,16747,,99,,Office,1968,33.5,2,496720.1,0.2899,,0.711,,,,,17.01,Not Available,"Water is allocated by gross square footage for this property, and does not represent actual usage.",
Tai Tung Village,Reported,305021000,Multifamily Housing,230 Harrison Avenue,2111,282390,,53,,"Multifamily Housing, Parking",1973,1388.6,5.6,25108528.8,0.1287,0.8713,,,,,,55.31,Not Available,,
Mission Main III,Reported,1000001035,Multifamily Housing,39 McGreevey Way,2120,140058,,76,,"Multifamily Housing, Parking",2000,453.2,3.7,7802560.4,0.2921,0.779,,,,,,88.72,Not Available,This parcel consists of 6 buildings.,
St. Botolph,Reported,402270000,Multifamily Housing,351-367 Massachusetts Ave,2115,46200,,14,,Multifamily Housing,1899,284.2,6.2,5007375.3,0.2137,0.7863,,,,,,54.98,Not Available,,
Castle Square-0500478002,Reported,500478002,Multifamily Housing,484 Tremont St,2116,358603,,17,2014,Multifamily Housing,1965,2519.7,7,45800269.8,0.1117,0.8883,,,,,,86.05,Not Available,,
Bornstein & Pearl,Reported,1300952000,Food Service,196 Quincy St,2121,36000,,,,Food Service,1930,425.5,11.8,7159798.9,0.3714,0.6286,,,,,,7834.22,Not Available,National Grid gas usage had more estimated data for 2018 data than in 2017.-8/22/19,
Mission Main II,Reported,"1000001020	1000001021	1000001030	1000001031	1000001040	1000001041	1000001045",Multifamily Housing,21 Cornelia Street,2120,287434,,92,,"Multifamily Housing, Parking",2000,728.8,2.9,12535734.1,0.2953,0.747,,,,,,63.76,Not Available,This property contains 4 parcels consisting of 11 buildings.,
WILSHIRE WESTMINSTER (frmly Westminster Court),Reported,1101702000,Multifamily Housing,30 Westminster Avenue,2119,67320,,38,,"Multifamily Housing, Parking",1960,356.1,5.8,6398196,0.1492,0.858,,,,,,33643.89,Not Available,,
Roxbury Corners-0901180010,Reported,901180010,Multifamily Housing,1801 Washington Street,2118,50949,,57,,"Multifamily Housing, Parking",1991,215.2,4.5,3704678.8,0.2928,0.772,,,,,,42.27,Not Available,,
Mission Main I,Reported,1000001005; 1000001055; 1000001050; 1000001015; 1000001025,Multifamily Housing,43 Smith Street,2120,528033,,81,,"Multifamily Housing, Office, Parking",2000,1402.5,3.1,23950341.7,0.3199,0.681,,,,,,48.72,Not Available,This property consists of 5 parcels with a total of 15 buildings.,
Parmelee Court-1762,Reported,801615010,Multifamily Housing,1762 Washington Street,2118,56543,,12,,"Multifamily Housing, Parking",1991,313.9,6.2,5522057,0.2192,0.788,,,,,,67.11,Not Available,,
New Academy Estates-2897-2933 Washington,Reported,1100915001,Multifamily Housing,2897-2933 Washington Street,2119,173178,,62,,"Multifamily Housing, Parking",2001,436.2,5,7742520.7,0.1895,0.815,,,,,,75.02,Not Available,This parcel number contains 7 individual buildings that share meters.,
Beryl Gardens,Reported,903082100,Multifamily Housing,103 Madison Park Court,2120,25000,,60,,Multifamily Housing,1998,117.3,4.7,2054305.1,0.2345,0.7655,,,,,,17.06,Not Available,,
Hope in Dorchester,Reported,1402076000,Multifamily Housing,88 Nightingale Street,2124,22955,,,,"Multifamily Housing, Parking",2003,46.5,2.8,839712,0.1341,0.8659,,,,,,31.68,Not Available,,
Latin Academy I / New Girls Latin Academy,Reported,1704781102; 1704781104; 1704781100,Multifamily Housing,380 Talbot Avenue,2124,89235,,11,,Multifamily Housing,1900,527.4,5.9,9052056.6,0.329,0.6971,,,,,,55.73,Not Available,Waiting on updated characteristics from Winn.,
CharlesNewtown,Reported,"0202734000	0202740000	0202745000",Multifamily Housing,89 Medford Street,2129,301028,,16,,"Multifamily Housing, Parking",1971,1709,7.1,30293193.8,0.1939,0.861,,,,,,89.92,Not Available,,
LBB Apt - 102-112 Talbot,Reported,1402195000,Multifamily Housing,102-112 Talbot Avenue,2124,24662,,,,Multifamily Housing,1920,117.3,4.8,2009916.4,0.373,0.6927,,,,,,39.61,Not Available,"102 Talbot Ave, 20 Fowler St, 4 Wellington Hills St",
Harvard Hill-1405129000,Reported,1405129000,Multifamily Housing,60-70 Hazelton St,2124,42643,,51,,"Multifamily Housing, Parking",1940,158,4.1,2825421.9,0.1658,0.8342,,,,,,63.03,Not Available,,
79 Walnut Park (Wardman),Reported,1101618000,Multifamily Housing,79 Walnut Park,2119,15776,,,,Multifamily Housing,1920,90.1,5.7,1611292.6,0.1648,0.8352,,,,,,51.36,Not Available,,
3-15 Alaska St,Reported,1200420000,Multifamily Housing,3-15 Alaska St,2119,42548,,94,,Multifamily Housing,1900,129.5,3,2410556.7,0.357,0.9643,,,,,,25.56,Not Available,,
Quincy Geneva II-1400314000,Reported,1400314000,Multifamily Housing,87-99 Lawrence Ave,2121,32472,,24,,Multifamily Housing,1910,196.1,6,3550697.2,0.1239,0.8761,,,,,,46.04,Not Available,,
23-29 Mt Pleasant Ave,Reported,802573000,Multifamily Housing,23-29 Mount Pleasant Avenue,2119,15716,,,,Multifamily Housing,1900,77.6,4.9,1437491.1,0.526,0.9474,,,,,,62.97,Not Available,,
New Academy Estates-29 Cobden,Reported,1101752000,Multifamily Housing,29 Cobden St,2119,144479,,73,,Multifamily Housing,2001,676,4.7,12325704.2,0.115,0.8985,,,,,,77.7,Not Available,This parcel number contains 13 individual buildings that share meters.,
Bancroft,Reported,1101101001,Multifamily Housing,1-11 Bancroft St,2119,27874,,,,"Multifamily Housing, Parking",1930,167.7,6.3,3026559.8,0.1342,0.8658,,,,,,50.53,Not Available,,
Quincy Commons,Reported,1300723000,Multifamily Housing,278 Blue Hill Ave,2119,56670,,2,,"Multifamily Housing, Parking",2014,220.8,4.4,3579182.3,0.545,0.4955,,,,,,19.5,Not Available,,
Theroch,Voluntary,1400064000; 1401065000,Multifamily Housing,223 Columbia Road,2121,79102,,1,,Multifamily Housing,1940,1118.9,14.1,20738146,0.494,0.956,,,,,,42.55,Not Available,,
Washington Park-1201990000,Reported,1201990000,Multifamily Housing,25-33 Wyoming Street,2121,52416,,2,,Multifamily Housing,1890,375.6,7.2,6782698.1,0.1329,0.8671,,,,,,33.52,Not Available,,
UE Apartments,Reported,1101626000,Multifamily Housing,2014-2030 Columbus Ave,2119,41120,,73,,"Multifamily Housing, Parking",1920,138.2,3.6,2372979.8,0.3,0.7,,,,,,48.83,Not Available,2017 missing some tenant electric usage data,
Wardman,Reported,1101661000; 1101662000; 1101663000; 1101664000; 1101665000,Multifamily Housing,19 Wardman Road,2119,80055,,77,,Multifamily Housing,1920,337.4,4.2,6183085.6,0.854,0.9146,,,,,,31.57,Not Available,This property is a single building that spans across 5 parcel numbers.,
Washington Columbia II,Reported,1400832000; 1400833000,Multifamily Housing,95 Washington Street,2121,59859,,46,,Multifamily Housing,1920,267.8,4.5,4742810.5,0.1964,0.836,,,,,,70.68,Not Available,,
Washington Columbia I,Reported,1400076000; 1400707000,Multifamily Housing,180 Columbia Road,2121,70252,,4,,Multifamily Housing,1920,383.3,5.5,6400235.9,0.398,0.62,,,,,,48.05,Not Available,,
Harvard Hill - 436 Harvard,Reported,1404445000,Multifamily Housing,436 Harvard St,2124,23667,,,,Multifamily Housing,1940,52.9,2.2,988801,0.235,0.9765,,,,,,33.19,Not Available,,
Walnut Washington,Reported,1101620000,Multifamily Housing,361-363 Walnut Ave,2119,27261,,52,,Multifamily Housing,1920,122.3,4.5,2159076.1,0.277,0.7923,,,,,,49.43,Not Available,"National Grid removed a meter in April 2019 and reset the usage back as far as July 2018.  This effected the energy scores for 2018 and 2019.  The usage was estimated prior to this time.  The data is based on accurate meter readings from April 26, 2019.",
Serenity - Greystar,Reported,1001625010,Multifamily Housing,105 SOUTH HUNTINGTON AVE,2130,273250,,44,,"Heated Swimming Pool, Multifamily Housing, Parking",2016,778.5,3.8,12424169.9,0.568,0.4392,,,,,,27.09,Not Available,,
The Eddy - Greystar,Reported,105410000,Multifamily Housing,"10 New St, East ",2128,260000,,44,,Multifamily Housing,2016,1210.4,4.7,20421590.4,0.3618,0.6382,,,,,,0.04,Not Available,,
Dale Village Condo Trust,Reported,1903888000,Multifamily Housing,25 Harrison St,2131,191967,,92,,Multifamily Housing,1989,471.2,2.5,8237999.6,0.242,0.7598,,,,,,21.81,Not Available,There are 18 buildings with 6 units each.  Total of 108 units:,
Commonwealth Square Condo Trust,Reported,2101776000,Multifamily Housing,9 Commonwealth Court,2135,82350,,98,,Multifamily Housing,1964,239.4,2.9,3304358.3,0.4315,,,0.5685,,,,57.31,Not Available,,
