Property Name,Reported,Property Type,Address,ZIP, Gross Area (sq ft) ,Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built,GHG Emissions (MTCO2e),GHG Intensity (kgCO2/sf), Total Site Energy (kBTU) ,% Electricity,% Gas,% Steam,% Fuel Oil,% District Hot Water ,% District Chilled Water,Water Intensity (gal/sf), Onsite Renewable (kWh) ,User Submitted Info,User Submitted Link,Tax Parcel,Years Reported,Covered by 5 Year Energy Action and Assessment Required in 2020,5 Year Energy Action and Assessment Compliance Status
XII Stoneholm Condominium Trust,Compliant,Multifamily Housing,12 Stoneholm St,2115,118301,32.7,94,,Multifamily Housing,2006,289.5,2.4,3862701.5,1,,,,,,Not Available,,,,401404000,"2015, 2016, 2017, 2018, 2019, 2020,",Yes,Extension
YMCA of Greater Boston - Constitution Inn,Compliant,Hotel,150 Second Avenue,2129,111388,249.1,2,,"Hotel, Swimming Pool",1992,1541.7,13.8,27744962.3,0.112303234,0.887696766,,,,,Not Available,,"The hotel consists of a 20,000 sq. ft. fitness center.",,"203511300, 203511301","2015, 2016, 2017, 2018, 2019, 2020,",Yes,Extension
YMCA of Greater Boston - Huntington,Compliant,Fitness Center/Health Club/Gym,316 Huntington Avenue,2115,100961,194.5,,,"Fitness Center/Health Club/Gym, Swimming Pool",2014,1154.4,11.4,19639048.2,0.259570212,0.740429788,,,,,Not Available,,,,"402245042, 402245045, 402245044","2015, 2016, 2017, 2018, 2019, 2020,",Yes,Extension
YMCA of Greater Boston - Oak Square,Compliant,Fitness Center/Health Club/Gym,615 Washington Street,2135,38813,311.9,,,"Fitness Center/Health Club/Gym, Swimming Pool",2004,699.3,18,12103987.3,0.213540136,0.786459864,,,,,83.95,,,,2203801000,"2016, 2017, 2018, 2019, 2020,",No,
YMCA of Greater Boston - Parkway,Compliant,Fitness Center/Health Club/Gym,1972 Centre St,2132,35998,303.6,,,"Fitness Center/Health Club/Gym, Swimming Pool",2016,635.7,17.7,10929362,0.231594927,0.768405073,,,,,49.6,,"This property was built in year 1951, and remodeled, completed year 2016",,2002296000,"2017, 2018, 2019, 2020,",No,
Zelma Lacey Assisted Living: 9 West School St,Compliant,Multifamily Housing,9 W School St,2129,39384,92.7,20,,Multifamily Housing,2004,224,5.7,3649026.6,0.379149744,0.620850229,,,,,Not Available,,,,202350000,"2015, 2016, 2017, 2018, 2019, 2020,",Yes,Extension
,Non Compliant,HOTEL/LODGING,381-399 Chestnut Hill Ave,,170000,,,,,,,,,,,,,,,,,,,2102440001,,No,
,Non Compliant,SCHOOL,435 WARREN ST,,40745,,,,,,,,,,,,,,,,,,,1201895000,,No,
,Non Compliant,APT 7-30 UNITS,1582 RIVER ST,,52000,,,,,,,,,,,,,,,,,,,1812142000,,No,
,Non Compliant,Multiple use Property ,442 CAMBRIDGE ST,,61448,,,,,,,,,,,,,,,,,,,2100704010,"2018,",No,
,Non Compliant,CONDO MAIN,152 156 W BROADWAY,,1,,,,,,,,,,,,,,,,,,,600301000,,No,
,Non Compliant,CONDO MAIN,45 W THIRD ST,,1,,,,,,,,,,,,,,,,,,,601233000,,No,
,Non Compliant,CONDO MAIN,1650 COMMONWEALTH AV,,1,,,,,,,,,,,,,,,,,,,2102015000,,No,
,Non Compliant,SHOWROOM (AUTO),61 N BEACON ST,,73000,,,,,,,,,,,,,,,,,,,2201886010,"2017,",No,
,Non Compliant,NEW MANUFACTURING,25 FID KENNEDY DR,,157000,,,,,,,,,,,,,,,,,,,602674085,,No,
,Non Compliant,MINI-STORAGE WHSE,99 RIVERMOOR ST,,154376,,,,,,,,,,,,,,,,,,,2009227000,,No,
,Non Compliant,CONDO MAIN,70 BREMEN ST,,1,,,,,,,,,,,,,,,,,,,103859000,,No,
,Non Compliant,CONDO MAIN,99 219 LAKE SHORE RD,,332489,,,,,,,,,,,,,,,,,,,2205550001,"2015, 2016,",Yes,Not Compliant
,Non Compliant,CONDO MAIN,163 -165 CHESTNUT HILL AV,,44902,,,,,,,,,,,,,,,,,,,2205126010,"2017,",No,
,Non Compliant,CONDO MAIN,1997 2003 COMMONWEALTH AV,,67979,,,,,,,,,,,,,,,,,,,2205081000,,Yes,Not Compliant
,Non Compliant,CONDO MAIN,99 111 CHESTNUT HILL AV,,50390,,,,,,,,,,,,,,,,,,,2204946000,"2015, 2016, 2017, 2018,",Yes,Not Compliant
,Non Compliant,COM MULTI-USE,200 206 LAKE ST,,164460,,,,,,,,,,,,,,,,,,,2204704000,"2015, 2017, 2018, 2019,",Yes,Not Compliant
,Non Compliant,CONDO MAIN,112 135 HUNTINGTON RD,,38957,,,,,,,,,,,,,,,,,,,2204563000,,No,
,Non Compliant,CONDO MAIN,121 TREMONT ST,,66934,,,,,,,,,,,,,,,,,,,2203713000,"2015, 2016, 2017,",Yes,Not Compliant
,Non Compliant,RELIGIOUS ORGANIZATN,676 -682 WASHINGTON ST,,40497,,,,,,,,,,,,,,,,,,,2203688000,,No,
,Non Compliant,CONDO MAIN,140 -188 NEWTON ST,,64675,,,,,,,,,,,,,,,,,,,2203429010,,No,
,Non Compliant,LIGHT MFG / R & D,145 NEWTON ST,,115988,,,,,,,,,,,,,,,,,,,2203428000,"2014, 2015, 2016, 2017, 2018, 2019,",No,
,Non Compliant,REPAIR GARAGE,17 -35 ELECTRIC AV,,41966,,,,,,,,,,,,,,,,,,,2202671010,"2016,",No,
,Non Compliant,"CHURCH, SYNAGOGUE",    LEICESTER ST,,65040,,,,,,,,,,,,,,,,,,,2202497000,,No,
,Non Compliant,"CHURCH, SYNAGOGUE",    ARLINGTON ST,,37650,,,,,,,,,,,,,,,,,,,2202496000,,No,
,Non Compliant,RES/COMMERCIAL USE,371 385 MARKET ST,,90301,,,,,,,,,,,,,,,,,,,2202435001,,Yes,Not Compliant
,Non Compliant,CONDO MAIN,15 GUEST ST,,126538,,,,,,,,,,,,,,,,,,,2201907000,"2015, 2016, 2017, 2018, 2019,",No,
,Non Compliant,CONDO MAIN,20 GUEST ST,,0,,,,,,,,,,,,,,,,,,,2201906010,"2015, 2016, 2017, 2018, 2019,",No,
,Non Compliant,OFFICE BUILDING,80 GUEST ST,,416359,,,,,,,,,,,,,,,,,,,2201905100,"2017, 2018, 2019,",No,
,Non Compliant,SHOWROOM,75 95 N BEACON ST,,40620,,,,,,,,,,,,,,,,,,,2201887000,,No,
,Non Compliant,OFFICE 1-2 STORY,42 38 EVERETT ST,,50592,,,,,,,,,,,,,,,,,,,2201872000,"2015, 2016, 2017, 2018, 2019,",No,
,Non Compliant,RETAIL USE,52 EVERETT ST,,65013,,,,,,,,,,,,,,,,,,,2201871000,"2018,",No,
,Non Compliant,RES/COMMERCIAL USE,61 BRAINTREE ST,,81948,,,,,,,,,,,,,,,,,,,2201865000,,No,
,Non Compliant,"CHURCH, SYNAGOGUE",    HOLTON ST,,46686,,,,,,,,,,,,,,,,,,,2201177000,,No,
,Non Compliant,SUPERMARKET,304 - 380 WESTERN AV,,60750,,,,,,,,,,,,,,,,,,,2200863030,"2014, 2015, 2016,",No,
,Non Compliant,MEDICAL OFFICE,495 WESTERN AV,,47362,,,,,,,,,,,,,,,,,,,2200572000,"2018,",No,
,Non Compliant,HOSPITAL,55 77 WARREN ST,,4240,,,,,,,,,,,,,,,,,,,2101838000,"2016, 2017, 2018, 2019,",No,
,Non Compliant,CONDO MAIN,1691 COMMONWEALTH AV,,0,,,,,,,,,,,,,,,,,,,2102649000,,No,
,Non Compliant,OTHER EXEMPT BLDG,16 SIDLAW RD,,38760,,,,,,,,,,,,,,,,,,,2102533000,"2016, 2017,",No,
,Non Compliant,CONDO MAIN,1945 1949 COMMONWEALTH AV,,48655,,,,,,,,,,,,,,,,,,,2102478000,,Yes,Not Compliant
,Non Compliant,CONDO MAIN,1933 COMMONWEALTH AV,,54305,,,,,,,,,,,,,,,,,,,2102476000,"2015, 2016, 2017, 2018, 2019,",Yes,Not Compliant
,Non Compliant,CONDO MAIN,1992 1982 COMMONWEALTH AV,,45609,,,,,,,,,,,,,,,,,,,2102467000,,Yes,Not Compliant
,Non Compliant,RES/COMMERCIAL USE,1928 1960 BEACON ST,,44108,,,,,,,,,,,,,,,,,,,2102396000,"2017, 2018, 2019,",No,
,Non Compliant,CONDO MAIN,6 2 SUTHERLAND RD,,80322,,,,,,,,,,,,,,,,,,,2102352000,"2018, 2019,",Yes,Not Compliant
,Non Compliant,APT SUBSIDIZED HOUSING,55 73 KENSINGTON PK,,7440,,,,,,,,,,,,,,,,,,,1200500000,"2017,",Yes,Not Compliant
,Non Compliant,CONDO MAIN,132 116 SUTHERLAND RD,,79883,,,,,,,,,,,,,,,,,,,2102180000,"2017,",Yes,Not Compliant
,Non Compliant,ELDERLY HOME,50 SUTHERLAND RD,,105000,,,,,,,,,,,,,,,,,,,2102168001,,Yes,Not Compliant
,Non Compliant,CONDO MAIN,65 STRATHMORE RD,,0,,,,,,,,,,,,,,,,,,,2102144000,,No,
,Non Compliant,OFFICE/INDUSTRIAL USE,1686 COMMONWEALTH AV,,43662,,,,,,,,,,,,,,,,,,,2102094000,,No,
,Non Compliant,CONDO MAIN,25 39 MT HOOD RD,,37293,,,,,,,,,,,,,,,,,,,2101992000,,Yes,Not Compliant
,Non Compliant,CONDO MAIN,41 67 COLBORNE RD,,72690,,,,,,,,,,,,,,,,,,,2101986000,"2015, 2016, 2017, 2018, 2019,",Yes,Not Compliant
,Non Compliant,CHARITABLE ORGANIZTN,68 -80 HAMPDEN ST,,8968,,,,,,,,,,,,,,,,,,,800866010,,No,
,Non Compliant,RES/COMMERCIAL USE,1505 COMMONWEALTH AV,,63504,,,,,,,,,,,,,,,,,,,2101830005,"2014, 2018,",No,
,Non Compliant,SHOWROOM,1525 - 160 VFW PW,,9480,,,,,,,,,,,,,,,,,,,2010643010,"2015, 2017,",No,
,Non Compliant,CONDO MAIN,1488 1476 COMMONWEALTH AV,,43598,,,,,,,,,,,,,,,,,,,2101770000,"2018, 2019,",Yes,Not Compliant
,Non Compliant,RES/COMMERCIAL USE,1106 1110 COMMONWEALTH AV,,71756,,,,,,,,,,,,,,,,,,,2101594000,"2015,",Yes,Not Compliant
,Non Compliant,RES/COMMERCIAL USE,204 202 HARVARD AV,,39520,,,,,,,,,,,,,,,,,,,2101569000,,No,
,Non Compliant,HEALTH CLUB,16 12 GRIGGS ST,,47880,,,,,,,,,,,,,,,,,,,2101540000,,No,
,Non Compliant,CONDO MAIN,59 BRAINERD RD,,55142,,,,,,,,,,,,,,,,,,,2101539000,"2015, 2016, 2017, 2018,",Yes,Not Compliant
,Non Compliant,CONDO MAIN,85 BRAINERD RD,,95125,,,,,,,,,,,,,,,,,,,2101515000,"2015, 2017, 2018,",Yes,Not Compliant
,Non Compliant,CONDO MAIN,10 ST GEORGE ST,,11103,,,,,,,,,,,,,,,,,,,801374000,"2018,",Yes,Extension
,Non Compliant,CONDO MAIN,1408 1394 COMMONWEALTH AV,,44464,,,,,,,,,,,,,,,,,,,2101414000,"2018, 2019,",No,
,Non Compliant,OTHER EXEMPT BLDG,    N BEACON ST,,79316,,,,,,,,,,,,,,,,,,,2101375100,,No,
,Non Compliant,CONDO MAIN,533 CAMBRIDGE ST,,42994,,,,,,,,,,,,,,,,,,,2101294000,,No,
,Non Compliant,OTHER EXEMPT BLDG,    ALLSTON ST,,72924,,,,,,,,,,,,,,,,,,,2101101001,,No,
,Non Compliant,APT SUBSIDIZED HOUSING,10 LONG AV,,64056,,,,,,,,,,,,,,,,,,,2101072000,,No,
,Non Compliant,APT SUBSIDIZED HOUSING,114 GLENVILLE AV,,64056,,,,,,,,,,,,,,,,,,,2101071000,,No,
,Non Compliant,APT SUBSIDIZED HOUSING,118 GLENVILLE AV,,64056,,,,,,,,,,,,,,,,,,,2101070000,"2018,",No,
,Non Compliant,EXEMPT 121A PROPERTY,33543 FERMOY HEIGHTS AV,,11485,,,,,,,,,,,,,,,,,,,1404238300,,No,
,Non Compliant,CONDO MAIN,10 32A GLENVILLE AV,,50865,,,,,,,,,,,,,,,,,,,2100873000,,Yes,Not Compliant
,Non Compliant,RES/COMMERCIAL USE,48 BRIGHTON AV,,38274,,,,,,,,,,,,,,,,,,,2100760000,,No,
,Non Compliant,RES/COMMERCIAL USE,1125 COMMONWEALTH AV,,71440,,,,,,,,,,,,,,,,,,,2100749000,,No,
,Non Compliant,RETAIL/OFFICE,32 4 BRIGHTON AV,,116304,,,,,,,,,,,,,,,,,,,2100745000,"2018,",No,
,Non Compliant,COM MULTI-USE,334 362 CAMBRIDGE ST,,53475,,,,,,,,,,,,,,,,,,,2100675010,"2016, 2017,",No,
,Non Compliant,SUPERMARKET,1 7 BRIGHTON AV,,60180,,,,,,,,,,,,,,,,,,,2100558000,,No,
,Non Compliant,Apartment,1047  COMMONWEALTH AV,,105000,,,,,,,,,,,,,,,,,,,2100472000,"2018,",No,
,Non Compliant,RES/COMMERCIAL USE,1027 -1033 COMMONWEALTH AV,,43929,,,,,,,,,,,,,,,,,,,2100469000,,No,
,Non Compliant,COM MULTI-USE,20 14 LINDEN ST,,60000,,,,,,,,,,,,,,,,,,,2100465000,"2017, 2018,",No,
,Non Compliant,APT 31-99 UNITS,40 RIVER ST,,12698,,,,,,,,,,,,,,,,,,,1704048010,"2015, 2016, 2017, 2018,",Yes,Extension
,Non Compliant,APT 31-99 UNITS,829 833 BEACON ST,,50634,,,,,,,,,,,,,,,,,,,2100170000,"2015, 2016, 2017, 2018, 2019,",Yes,Extension
,Non Compliant,PARKING GARAGE,146 142 ST MARYS ST,,47904,,,,,,,,,,,,,,,,,,,2100115000,"2017, 2018,",No,
,Non Compliant,RES/COMMERCIAL USE,61 -65 BROOKLINE AV,,95325,,,,,,,,,,,,,,,,,,,2100065000,"2015,",Yes,Not Compliant
,Non Compliant,CONDO MAIN,137 PETERBOROUGH ST,,0,,,,,,,,,,,,,,,,,,,2100044000,,No,
,Non Compliant,CONDO MAIN,5050 WASHINGTON ST,,46620,,,,,,,,,,,,,,,,,,,2012245000,"2015, 2016, 2017, 2018, 2019,",Yes,Not Compliant
,Non Compliant,CONDO MAIN,5170 WASHINGTON ST,,56787,,,,,,,,,,,,,,,,,,,2011957010,,No,
,Non Compliant,CONDO MAIN,95 99 GROVE ST,,49515,,,,,,,,,,,,,,,,,,,2011354000,"2017,",No,
,Non Compliant,RETAIL/OFFICE,1580 VFW PW,,215764,,,,,,,,,,,,,,,,,,,2010652000,"2019,",No,
,Non Compliant,CONDO MAIN,5 17 CASS ST,,48276,,,,,,,,,,,,,,,,,,,2010343000,"2018, 2019,",No,
,Non Compliant,LIGHT MFG / R & D,225 RIVERMOOR ST,,125072,,,,,,,,,,,,,,,,,,,2009228010,"2014, 2018, 2019,",No,
,Non Compliant,CONDO MAIN,1210 1218 VFW PW,,64587,,,,,,,,,,,,,,,,,,,2009216001,,Yes,Not Compliant
,Non Compliant,RETAIL STORE,1230 VFW PW,,55723,,,,,,,,,,,,,,,,,,,2009215001,,No,
,Non Compliant,OFFICE 3-9 STORY,    VFW PW,,37680,,,,,,,,,,,,,,,,,,,2009180010,,No,
,Non Compliant,NURSING HOME,1190 VFW  PW,,44064,,,,,,,,,,,,,,,,,,,2009158010,,No,
,Non Compliant,CONDO MAIN,990 - 1100 VFW PW,,42234,,,,,,,,,,,,,,,,,,,2009063010,,No,
,Non Compliant,SUPERMARKET,77 SPRING ST,,54928,,,,,,,,,,,,,,,,,,,2008904000,"2014, 2015, 2016,",No,
,Non Compliant,CONDO MAIN,293 297 TEMPLE ST,,38106,,,,,,,,,,,,,,,,,,,2008448000,,No,
,Non Compliant,CONDO MAIN,1100 1400 LAGRANGE ST,,74708,,,,,,,,,,,,,,,,,,,2007835010,,Yes,Not Compliant
,Non Compliant,CONDO MAIN,923 -955 LAGRANGE ST,,42621,,,,,,,,,,,,,,,,,,,2007504000,,No,
,Non Compliant,CONDO MAIN,44 BROADLAWN PK,,126891,,,,,,,,,,,,,,,,,,,2007013500,,Yes,Not Compliant
,Non Compliant,CONDO MAIN,46 20 WESTGATE RD,,90110,,,,,,,,,,,,,,,,,,,2007012000,"2015, 2016, 2017, 2018, 2019,",Yes,Not Compliant
,Non Compliant,CONDO MAIN,48 22 BRYON RD,,111490,,,,,,,,,,,,,,,,,,,2007011200,"2015, 2016, 2017, 2018, 2019,",Yes,Not Compliant
,Non Compliant,REHAB/COVALES FACILITY,1200 CENTRE ST,,156310,,,,,,,,,,,,,,,,,,,2005206000,"2015, 2016, 2018, 2019,",No,
,Non Compliant,OTHER EXEMPT BLDG,5 15 VFW PW,,64619,,,,,,,,,,,,,,,,,,,2003601001,"2019,",No,
,Non Compliant,OTHER EXEMPT BLDG,30 40 ST THERESA AV,,84180,,,,,,,,,,,,,,,,,,,2003472000,,No,
,Non Compliant,OTHER EXEMPT BLDG,2092 CENTRE ST,,39250,,,,,,,,,,,,,,,,,,,2003409000,,No,
,Non Compliant,OTHER EXEMPT BLDG,2222 CENTRE ST,,71736,,,,,,,,,,,,,,,,,,,2003228000,"2017, 2018,",No,
,Non Compliant,CONDO MAIN,4925 WASHINGTON ST,,59821,,,,,,,,,,,,,,,,,,,2002929000,,No,
,Non Compliant,OTHER EXEMPT BLDG,2 8 ROBERT ST,,52042,,,,,,,,,,,,,,,,,,,2000244000,,No,
,Non Compliant,RES/COMMERCIAL USE,72 74 MARGINAL ST,,16198,,,,,,,,,,,,,,,,,,,104482000,"2017, 2018,",No,
,Non Compliant,APT 100+ UNITS,84 166 FAWNDALE RD,,50370,,,,,,,,,,,,,,,,,,,1903232000,"2015, 2016, 2017, 2018, 2019,",Yes,Extension
,Non Compliant,INDUSTRIAL LOFT,22 18 ARBORETUM RD,,42888,,,,,,,,,,,,,,,,,,,1902878000,,No,
,Non Compliant,OTHER EXEMPT BLDG,1125 CENTRE ST,,38740,,,,,,,,,,,,,,,,,,,1902719000,"2018,",No,
,Non Compliant,COLLEGE,420 414 POND ST,,126968,,,,,,,,,,,,,,,,,,,1902456000,"2017, 2018, 2019,",No,
,Non Compliant,SCHOOL,262 PRINCE ST,,57454,,,,,,,,,,,,,,,,,,,1902203000,,No,
,Non Compliant,CONDO MAIN,175 309 PERKINS ST,,315739,,,,,,,,,,,,,,,,,,,1902190000,,Yes,Extension
,Non Compliant,CONDO MAIN,7 33 LAKEVILLE RD,,93856,,,,,,,,,,,,,,,,,,,1902014000,,Yes,Not Compliant
,Non Compliant,COM MULTI-USE,539 551 CENTRE ST,,124300,,,,,,,,,,,,,,,,,,,1901974000,"2015, 2016, 2017, 2018,",Yes,Not Compliant
,Non Compliant,CONDO MAIN,76 ELM ST,,67400,,,,,,,,,,,,,,,,,,,1901237000,"2016, 2017, 2018,",Yes,Extension
,Non Compliant,HOSPITAL,49 ROBINWOOD AV,,57005,,,,,,,,,,,,,,,,,,,1900926000,"2017,",No,
,Non Compliant,OFFICE/INDUSTRIAL USE,101 SPRAGUE ST,,76000,,,,,,,,,,,,,,,,,,,1812984000,"2016, 2017,",No,
,Non Compliant,RECREATION BUILDING,91 SPRAGUE ST,,51428,,,,,,,,,,,,,,,,,,,1812983001,"2016, 2017, 2018,",No,
,Non Compliant,WAREHOUSE,65 SPRAGUE ST,,256346,,,,,,,,,,,,,,,,,,,1812981000,"2016, 2017, 2018,",No,
,Non Compliant,CONDO MAIN,1 WESTINGHOUSE PZ,,0,,,,,,,,,,,,,,,,,,,1812152050,,Yes,Not Compliant
,Non Compliant,WAREHOUSE,100 104 BUSINESS ST,,88460,,,,,,,,,,,,,,,,,,,1811887000,,No,
,Non Compliant,WAREHOUSE,161 RESERVATION RD,,45848,,,,,,,,,,,,,,,,,,,1811886000,,No,
,Non Compliant,RETAIL/OFFICE,691 695 TRUMAN HW,,37230,,,,,,,,,,,,,,,,,,,1810585001,"2016, 2017, 2018,",No,
,Non Compliant,SUPERMARKET,1025 TRUMAN HW,,54398,,,,,,,,,,,,,,,,,,,1809855010,"2015, 2016, 2017, 2018,",No,
,Non Compliant,OFFICE 1-2 STORY,VFW PW,,17276,,,,,,,,,,,,,,,,,,,2009180050,"2018,",No,
,Non Compliant,WAREHOUSE,200 240 MEADOW RD,,194630,,,,,,,,,,,,,,,,,,,1809650020,,No,
,Non Compliant,OLD MANUFACTURING,1725 HYDE PARK AV,,46700,,,,,,,,,,,,,,,,,,,1809452001,,No,
,Non Compliant,OLD MANUFACTURING,1715 HYDE PARK AV,,75000,,,,,,,,,,,,,,,,,,,1809452000,"2018,",No,
,Non Compliant,SCHOOL,1415 HYDE PARK AV,,70000,,,,,,,,,,,,,,,,,,,1809291000,"2017, 2018,",No,
,Non Compliant,SCHOOL,1286 HYDE PARK AV,,44580,,,,,,,,,,,,,,,,,,,1809140010,"2016, 2017,",No,
,Non Compliant,APT 31-99 UNITS,145 NAVARRE ST,,18327,,,,,,,,,,,,,,,,,,,1806881000,"2015, 2016, 2017, 2018, 2019,",Yes,Extension
,Non Compliant,RETAIL/WHLSALE/SERVICE,942 HYDE PARK AV,,78966,,,,,,,,,,,,,,,,,,,1807731000,"2018,",No,
,Non Compliant,SCHOOL,875 905 RIVER ST,,52036,,,,,,,,,,,,,,,,,,,1807504000,,No,
,Non Compliant,CONDO MAIN,1 -102 VICTORIA HEIGHTS RD,,163834,,,,,,,,,,,,,,,,,,,1807263000,"2015, 2016,",Yes,Not Compliant
,Non Compliant,CONDO MAIN,800 790 HYDE PARK AV,,54284,,,,,,,,,,,,,,,,,,,1806810000,,No,
,Non Compliant,SUPERMARKET,640 670 AMERICAN LEGION HW,,84500,,,,,,,,,,,,,,,,,,,1806507001,,No,
,Non Compliant,OTHER EXEMPT BLDG,780 AMERICAN LEGION HW,,48462,,,,,,,,,,,,,,,,,,,1806332050,"2016, 2017,",No,
,Non Compliant,SUPERMARKET,912 854 RIVER ST,,39864,,,,,,,,,,,,,,,,,,,1804383000,"2016, 2017,",No,
,Non Compliant,CONDO MAIN,185 189 CHESTNUT HILL AV,,19016,,,,,,,,,,,,,,,,,,,2205124000,"2017,",No,
,Non Compliant,OFFICE,1595 1609 BLUE HILL AV,,60968,,,,,,,,,,,,,,,,,,,1801130000,,No,
,Non Compliant,MEDICAL CLINIC,1563 - 158 BLUE HILL AV,,62967,,,,,,,,,,,,,,,,,,,1801122010,,No,
,Non Compliant,APT 31-99 UNITS,876 886 CUMMINS HW,,43616,,,,,,,,,,,,,,,,,,,1801104000,,No,
,Non Compliant,RETAIL/OFFICE,1618 1634 BLUE HILL AV,,40052,,,,,,,,,,,,,,,,,,,1801024000,"2017, 2018,",No,
,Non Compliant,SCHOOL,37 BABSON ST,,54462,,,,,,,,,,,,,,,,,,,1800967000,"2018,",No,
,Non Compliant,APT 100+ UNITS,65 95 MORTON VILLAGE DR,,76800,,,,,,,,,,,,,,,,,,,1800768001,"2017, 2018,",Yes,Not Compliant
,Non Compliant,OTHER EXEMPT BLDG,1135 MORTON ST,,64916,,,,,,,,,,,,,,,,,,,1703981000,"2018,",No,
,Non Compliant,EXEMPT 121A PROPERTY,13 17 OXFORD ST,,20800,,,,,,,,,,,,,,,,,,,304483000,,No,
,Non Compliant,RES/COMMERCIAL USE,1190 ADAMS ST,,62136,,,,,,,,,,,,,,,,,,,1703663030,"2015, 2016, 2017,",Yes,Not Compliant
,Non Compliant,RES/COMMERCIAL USE,1208 1212 ADAMS ST,,71784,,,,,,,,,,,,,,,,,,,1703661100,"2015, 2016, 2017, 2018, 2019,",Yes,Not Compliant
,Non Compliant,RES/COMMERCIAL USE,1220 1230 ADAMS ST,,105446,,,,,,,,,,,,,,,,,,,1703661000,"2015, 2016, 2017, 2018, 2019,",Yes,Not Compliant
,Non Compliant,OTHER EXEMPT BLDG,2214 2224 DORCHESTER AV,,49377,,,,,,,,,,,,,,,,,,,1703589000,"2017, 2018, 2019,",No,
,Non Compliant,CONDO MAIN,171 SOUTH ST,,20854,,,,,,,,,,,,,,,,,,,1103322000,,No,
,Non Compliant,OTHER EXEMPT BLDG,31 37 STANTON ST,,60996,,,,,,,,,,,,,,,,,,,1702026000,,No,
,Non Compliant,"CHURCH, SYNAGOGUE",44 MOULTRIE ST,,37630,,,,,,,,,,,,,,,,,,,1700698000,,No,
,Non Compliant,CONDO MAIN,1607 COMMONWEALTH AV,,21398,,,,,,,,,,,,,,,,,,,2101916000,"2017, 2018, 2019,",No,
,Non Compliant,CONDO MAIN,1906 -1918 DORCHESTER AV,,0,,,,,,,,,,,,,,,,,,,1604854020,,No,
,Non Compliant,OTHER EXEMPT BLDG,    GALLIVAN BL,,64646,,,,,,,,,,,,,,,,,,,1604518000,,No,
,Non Compliant,ATHLETIC FACILITY,540 GALLIVAN BL,,66178,,,,,,,,,,,,,,,,,,,1604087001,,No,
,Non Compliant,REHAB/COVALES FACILITY,337 NEPONSET AV,,47856,,,,,,,,,,,,,,,,,,,1603954000,"2017,",No,
,Non Compliant,COM MULTI-USE,20 22 HAVILAND ST,,21784,,,,,,,,,,,,,,,,,,,401401000,"2015, 2016, 2018,",Yes,Not Compliant
,Non Compliant,OFFICE 1-2 STORY,74 LAWLEY ST,,43495,,,,,,,,,,,,,,,,,,,1602618000,"2016, 2017, 2018, 2019,",No,
,Non Compliant,OFFICE 3-9 STORY,12 ERICSSON ST,,40712,,,,,,,,,,,,,,,,,,,1602617005,,No,
,Non Compliant,SUPERMARKET,535 555 FREEPORT ST,,61522,,,,,,,,,,,,,,,,,,,1602376000,"2014, 2015, 2016, 2017, 2018,",No,
,Non Compliant,OTHER EXEMPT BLDG,21 QUEEN ST,,66449,,,,,,,,,,,,,,,,,,,1602324000,"2017, 2019,",No,
,Non Compliant,SCHOOL,241 NEPONSET AV,,51692,,,,,,,,,,,,,,,,,,,1602169000,"2017, 2018, 2019,",No,
,Non Compliant,CONDO MAIN,28 QUINT AV,,22030,,,,,,,,,,,,,,,,,,,2100921000,"2017, 2018, 2019,",No,
,Non Compliant,RETAIL STORE,1513 DORCHESTER AV,,98140,,,,,,,,,,,,,,,,,,,1600752000,,No,
,Non Compliant,CONDO MAIN,135 TOWNSEND ST,,22374,,,,,,,,,,,,,,,,,,,1203393000,,No,
,Non Compliant,APT 31-99 UNITS,5 15 VICTORY RD,,50240,,,,,,,,,,,,,,,,,,,1600428000,,Yes,Not Compliant
,Non Compliant,CHARITABLE ORGANIZTN,179 199 FREEPORT ST,,135886,,,,,,,,,,,,,,,,,,,1600011000,"2015, 2016, 2017, 2018, 2019,",No,
,Non Compliant,SCHOOL,194 FREEPORT ST,,56715,,,,,,,,,,,,,,,,,,,1600009000,"2015,",No,
,Non Compliant,OFFICE 1-2 STORY,256 FREEPORT ST,,49543,,,,,,,,,,,,,,,,,,,1600007000,"2018,",No,
,Non Compliant,MANUFACTURING,65 BAY ST,,116610,,,,,,,,,,,,,,,,,,,1503130010,"2015, 2016, 2017, 2018,",No,
,Non Compliant,OLD MANUFACTURING,9 9A DEWAR ST,,44674,,,,,,,,,,,,,,,,,,,1503117000,"2018,",No,
,Non Compliant,OTHER EXEMPT BLDG,413 419 COLUMBIA RD,,38796,,,,,,,,,,,,,,,,,,,1502977000,"2016, 2017, 2019,",No,
,Non Compliant,CONDO MAIN,319 A ST,,22833,,,,,,,,,,,,,,,,,,,602761100,"2019,",No,
,Non Compliant,MEDICAL CLINIC,1345 1353 DORCHESTER AV,,89000,,,,,,,,,,,,,,,,,,,1500507000,"2015, 2018,",Yes,Not Compliant
,Non Compliant,WAREHOUSE,1342 1334 DORCHESTER AV,,38833,,,,,,,,,,,,,,,,,,,1500287000,"2016, 2017, 2018,",No,
,Non Compliant,WAREHOUSE,1444 1446 DORCHESTER AV,,46561,,,,,,,,,,,,,,,,,,,1500075000,,No,
